CNPJ Entidade	Nome Entidade	Número Convênio	Órgão Concedente	Motivo Impedimento
65049256000139	FUNDACAO POLO TECNOLOGICO DE S.J.DOS CAMPOS E V. PARAIB	341589	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	INSTAURAÇÃO DE TCE
65160806000192	ACAO COMUNITARIA SOCIAL E BENEFICIENTE MONTE SINAI	035090	MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO	IRREGULARIDADES NA EXECUÇÃO
65164196000103	INSTITUTO TECNICO PARA A EDUCACAO E A CULTURA - VANJA O	457709	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
65524944000103	FORCA SINDICAL	388151	MINISTERIO DO TRABALHO E EMPREGO	INSTAURAÇÃO DE TCE
65524944000103	FORCA SINDICAL	412781	MINISTERIO DO TRABALHO E EMPREGO	INSTAURAÇÃO DE TCE
65524944000103	FORCA SINDICAL	424761	MINISTERIO DO TRABALHO E EMPREGO	INSTAURAÇÃO DE TCE
65524944000103	FORCA SINDICAL	522036	MINISTERIO DO TRABALHO E EMPREGO	IRREGULARIDADES NA EXECUÇÃO
65711046000164	SOC PROG DA PESQUISA E DESENV FRUTICUL NO NOR PAULISTA	136497	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INEXECUÇÃO DO OBJETO (TOTAL OU PARCIAL)
65713620000113	CENTRAL DAS ASSOCIACOES DO MUNICIPIO DE URANIA	136383	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
66052028000180	INSTITUTO UNIEMP	575570	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
66227406000110	MOVIMENTO PRO RIO DOCE	450055	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
66231366000180	ASSOCIACAO COMUNITARIA RURAL DO DESENVOLVIMENTO LIMEIRA	407384	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
66867060000114	ORIASHE SOC BRASILEIRA DE CULTURA E ARTE NEGRA	524993	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
66999293000170	ASSOCIACAO DOS PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARA	526867	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
66999293000170	ASSOCIACAO DOS PAIS E AMIGOS DOS EXCEPCIONAIS DE GUARA	569317	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
67136341000160	ABRAZ - ASSOCIACAO BRASILEIRA DE ALZHEIMER E DOENCAS SI	545693	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
67640441000129	LARAMARA ASSOCIACAO BRASILEIRA ASSISTENCIA DEFIC VISUAL	530660	MINISTERIO DA EDUCACAO	MOTIVO NÃO ESPECIFICADO
67664524000158	ASSOCIACAO REGIONAL DE COOPERACAO AGRICOLA DO PONTAL -	527385	MINISTERIO DA PESCA E AQUICULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
67664524000158	ASSOCIACAO REGIONAL DE COOPERACAO AGRICOLA DO PONTAL -	635815	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
67973487000160	UNEGRO UNIAO DE NEGROS PELA IGUALDADE DE SAO PAULO	419440	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECUÇÃO
67979310000170	UNIAO BRASILEIRA DE MULHERES-UBM	555327	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
67996777000129	SOS ADOLESCENTE	571809	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
68481282000120	A N I ASSOCIACAO NACIONAL DOS INVENTORES	339581	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	INSTAURAÇÃO DE TCE
68487842000153	INSTITUTO DE ACADEMIAS PROFISSIONALIZANTES	600369	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
68580679000179	ASSOC. BRASILEIRA DE APOIO E DESENV. DA ARTE CAPOEIRA	525182	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECUÇÃO
68604560000199	GRUPO DIGNIDADE - PELA CIDADANIA DE GAYS, LESBICAS E TR	523587	MINISTERIO DA CULTURA	INEXECUÇÃO DO OBJETO (TOTAL OU PARCIAL)
68604560000199	GRUPO DIGNIDADE - PELA CIDADANIA DE GAYS, LESBICAS E TR	566898	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
68604560000199	GRUPO DIGNIDADE - PELA CIDADANIA DE GAYS, LESBICAS E TR	570063	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
68604560000199	GRUPO DIGNIDADE - PELA CIDADANIA DE GAYS, LESBICAS E TR	573226	PRESIDENCIA DA REPUBLICA	INSTAURAÇÃO DE TCE
68647916000171	ABEAMA ASSOCIACAO BRAS DE ENE ALTERNATIVA MEIO AMBIENTE	552614	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
69100550000189	INSTITUICAO FILANTROPICA E EDUC. PARABOLA	507760	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
69100550000189	INSTITUICAO FILANTROPICA E EDUC. PARABOLA	507761	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
69100550000189	INSTITUICAO FILANTROPICA E EDUC. PARABOLA	520879	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
69270486000184	INSTITUTO PAULO FREIRE	510249	MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
69290435000114	CENTRO CERAMICO DO BRASIL - CCB	472632	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
69290435000114	CENTRO CERAMICO DO BRASIL - CCB	534727	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
70097837000186	ASSOCIACAO DO DESENVOLVIMENTO COMUNITARIO DE ST LUZIA	328704	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
71071666000189	SANTA CASA DE MISERICORDIA DE SAO SIMAO	649843	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
71525208000172	SOCIEDADE BRASILEIRA DE MEDICINA FETAL-SOBRAMEF	126088	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
71721336000191	BIOMASS USERS NETWORK DO BRASIL	428355	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
71747414000127	ASSOCIACAO DOS PRODUTORES RURAIS DE MERIDIANO	133959	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INEXECUÇÃO DO OBJETO (TOTAL OU PARCIAL)
71748073000104	ASSOCIACAO DOS CITRICULTORES DA REGIAO DE TURMALINA	134905	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECUÇÃO
72066509000148	ASSOCIACAO DE AMIGOS DA FUNARTE	379945	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
72066509000148	ASSOCIACAO DE AMIGOS DA FUNARTE	382505	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
72066509000148	ASSOCIACAO DE AMIGOS DA FUNARTE	406437	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
72223829000164	UNIAO DAS ASSOC E COOPERATIVAS USUARIOS DO PAVILHAO 30	487067	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
72699119000105	IRMANDADE DA SANTA CASA DE MIS DE TUPI PAULISTA	545732	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
72957814000120	SANTA CASA DE MISERICORDIA DE VOTUPORANGA	618936	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
73340655000182	FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI	300111	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
73340655000182	FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI	365628	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
73340655000182	FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI	404757	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
73340655000182	FUNDACAO APOIO REC GENET BIOT DALMO CATAULI GIACOMETTI	405137	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
